bug_id,bug_title,bug_description,bug_tags,priority,severity,area_path,iteration_path,state
96895,Attachment tab crashes system,,Team 1; TN,2,3 - Medium,104 newPDM\Ticket,104 newPDM\PI2,Rejected
97052,I'm unable to open PLATON dev environment,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI3\Sprint 3.1,Closed
97448,Z53705084 Revision 0004.001 missing alternative parts attributes,,R_24.01; SA; T4_Taskforce; Team 4; Team1,1,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.3,Closed
97449,A9360503231 Revision 0005.001 Wrong Value for Attribute Drawing Number,,R_24.01; Team 4,1,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.2,Closed
97462,N910105008011 Revision 0004.001 Missing attributes for physical properties,,R_24.01; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
97463,Z54103383 Revision 0001.003 wrong transformation for multiple StandardParts,,R_24.01; Team 4,1,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.1,Closed
97564,Template: Root-Node + error it self like missing relation Example: Z53705084 Revision 0004.001 missing alternative attributes),,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3,Rejected
97642,N000000000003 Revision 0002.001 and 0003.001 Revision of CDI-Object different in Smaragd and Platon,,R_24.01; Team 4,2,2 - High,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
97966,01-26318-004 Revision 0001.004 Missing Attribute Created by,,R_24.01; Team 4; TN,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.2,Closed
97967,01-26318-004 Revision 0001.004 Missing Attribute Smaragd Revision,,R_24.01; Team 4; TN,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.2,Rejected
97968,01-26318-004 Revision 0001.004 Missing Attributes Smaragd Sequence,,R_24.01; Team 4; TN,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.2,Rejected
98027,A4711506388 Revision 0003.02 Missing Attribute on related N910105008011 Transformation,,R_24.01; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.1,Closed
98029,A4711506388 Revision 0003.02 Missing Attribute ZGS,,R_24.01; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.2,Closed
98033,A4711506388 Revision 0003.02 Wrong release date and time is missing,,R_24.01; Team 4,2,2 - High,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.1,Closed
98041,A4711506388 Revision 0003.02 Missing attribute Creation date,,R_24.01; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.3,Closed
98058,A4711506388 Revision 0003.02 Missing SMARAGD Project,,R_24.01; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.4,Closed
98113,A4711506388 Revision 0003.02 Missing Attribute on related N910105008011 Pos-No./F/N (Relation),,R_24.01; Team 1; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.2,Closed
98184,"DHAA000 Revision 0001.002 Release date is set in PLATON, but no Release date exist in SMARAGD",,R_24.01; Team 4,3,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.1,Closed
98469,Something not working as expected DMU BOM relationships,"Something not working as expected / moved to / Access Request Who is requesting support (name)? William Trinh Which environment is affected (DEV or TEST or DevBox etc.)? TEST If Teamcenter related, which group/ role you are using? DTNA/PDM Author Detailed step by step description of: what you did what you expected what happened (when did it happen, where did you click, what commands did you send) If possible, attach pictures & log files etc., because it is very helpfull . Note only one request per ticket. DMU BOM is a child of a DMU BOM which is not a desired relationship [T1] - Lower Product Structure - Overview (azure.com) @Andreas Rohleder For your Information",Ready; Support central environment; TN,3,3 - Medium,104 newPDM\PLATON\Team 1,104 newPDM\PI5\Sprint 5.1,Closed
