WorkItemId,Title,LinkedWorkItemId,LinkedTitle,LinkedType
476748,Assign or remove object to/from project,47599,Define and add the Project Members - Follow Up,User Story
476749,Create Project and Define Project Members,47599,Define and add the Project Members - Follow Up,User Story
47600,Assign or remove object to/from project,47602,Define and Add the Project Members - Follow Up,User Story
47601,Create Project and Define Project Members,47602,Define and Add the Project Members - Follow Up,User Story
476750,Assign or remove object to/from project,47602,Define and Add the Project Members - Follow Up,User Story
476752,Create Project and Define Project Members,47602,Define and Add the Project Members - Follow Up,User Story
45664,Create Project and Define Project Members,38252,Create a Project and define the Project Members,User Story
45742,Assign or remove object to/from project,38252,Create a Project and define the Project Members,User Story
476714,Create Project and Define Project Members,38252,Create a Project and define the Project Members,User Story
476718,Assign or remove object to/from project,38252,Create a Project and define the Project Members,User Story
45664,Create Project and Define Project Members,47598,Create Project and Define Project Members,Test Case
47601,Create Project and Define Project Members,47598,Create Project and Define Project Members,Test Case
476714,Create Project and Define Project Members,47598,Create Project and Define Project Members,Test Case
476749,Create Project and Define Project Members,47598,Create Project and Define Project Members,Test Case
476752,Create Project and Define Project Members,47598,Create Project and Define Project Members,Test Case
45664,Create Project and Define Project Members,47601,Create Project and Define Project Members,Test Case
47598,Create Project and Define Project Members,47601,Create Project and Define Project Members,Test Case
476714,Create Project and Define Project Members,47601,Create Project and Define Project Members,Test Case
476749,Create Project and Define Project Members,47601,Create Project and Define Project Members,Test Case
476752,Create Project and Define Project Members,47601,Create Project and Define Project Members,Test Case
476767,Save Drawing as new Design,49273,Save Drawing as new Design,Test Case
45742,Assign or remove object to/from project,47597,Assign or remove object to/from project,Test Case
47600,Assign or remove object to/from project,47597,Assign or remove object to/from project,Test Case
476718,Assign or remove object to/from project,47597,Assign or remove object to/from project,Test Case
476748,Assign or remove object to/from project,47597,Assign or remove object to/from project,Test Case
476750,Assign or remove object to/from project,47597,Assign or remove object to/from project,Test Case
45742,Assign or remove object to/from project,47600,Assign or remove object to/from project,Test Case
47597,Assign or remove object to/from project,47600,Assign or remove object to/from project,Test Case
476718,Assign or remove object to/from project,47600,Assign or remove object to/from project,Test Case
476748,Assign or remove object to/from project,47600,Assign or remove object to/from project,Test Case
476750,Assign or remove object to/from project,47600,Assign or remove object to/from project,Test Case
476813,Visualize Drawings in integrated Viewer,53330,Visualize Drawings in integrated Viewer,Test Case
45773,Effectivity Date configuration in context of a change,35989,Enabler / Workshop -  Concept for Effectivity Date,User Story
45773,Effectivity Date configuration in context of a change,35989,Enabler / Workshop -  Concept for Effectivity Date,User Story
476719,Effectivity Date configuration in context of a change,35989,Enabler / Workshop -  Concept for Effectivity Date,User Story
45773,Effectivity Date configuration in context of a change,45639,Test Case 1: Create active change,Test Case
476712,Test Case 1: Create active change,45639,Test Case 1: Create active change,Test Case
476719,Effectivity Date configuration in context of a change,45639,Test Case 1: Create active change,Test Case
45803,Viewing Access Rights using the Access Tab,44831,Displaying Access Rules Tab for Custom PLATON Parts,User Story
45940,Create Program and define team members,38250,Create a Program and define the Program Members,User Story
45944,Assign or remove object to/from program,38250,Create a Program and define the Program Members,User Story
476721,Create Program and define team members,38250,Create a Program and define the Program Members,User Story
476722,Assign or remove object to/from program,38250,Create a Program and define the Program Members,User Story
46149,Manage flexible parts with Different designs(shapes),38588,Enabler / Managing flexible parts and assemblies from eBOM,User Story
46150,Manage flexible parts with same designs with different positions,38588,Enabler / Managing flexible parts and assemblies from eBOM,User Story
46154,Manage flexible parts with family of design geometries,38588,Enabler / Managing flexible parts and assemblies from eBOM,User Story
476724,Manage flexible parts with Different designs(shapes),38588,Enabler / Managing flexible parts and assemblies from eBOM,User Story
476725,Manage flexible parts with same designs with different positions,38588,Enabler / Managing flexible parts and assemblies from eBOM,User Story
476726,Manage flexible parts with family of design geometries,38588,Enabler / Managing flexible parts and assemblies from eBOM,User Story
46196,Modify Assemblies - Add Components,36676,Modify Assemblies - Add and remove Components,User Story
46234,Modify Assemblies - Remove Component,36676,Modify Assemblies - Add and remove Components,User Story
46425,Modify Assemblies - Add Components in AWC,36676,Modify Assemblies - Add and remove Components,User Story
46451,Modify Assemblies - Remove Component in AWC,36676,Modify Assemblies - Add and remove Components,User Story
46272,Create new single part from existing single part,37372,Enabler / Create new single part from existing single part,User Story
46303,Test02:Creation of Usage Parts (In the Context of Change),36938,Enabler / Usage-Management within eBOM,User Story
46303,Test02:Creation of Usage Parts (In the Context of Change),36938,Enabler / Usage-Management within eBOM,User Story
46304,Test3:Add Existing Usage Parts to Assembly (In the Context of Change),36938,Enabler / Usage-Management within eBOM,User Story
46304,Test3:Add Existing Usage Parts to Assembly (In the Context of Change),36938,Enabler / Usage-Management within eBOM,User Story
46305,Test4:Release Usage Parts (in the context of the change),36938,Enabler / Usage-Management within eBOM,User Story
46305,Test4:Release Usage Parts (in the context of the change),36938,Enabler / Usage-Management within eBOM,User Story
46306,Test05:Revise Usage Parts (In the Context of the Change),36938,Enabler / Usage-Management within eBOM,User Story
46306,Test05:Revise Usage Parts (In the Context of the Change),36938,Enabler / Usage-Management within eBOM,User Story
46307,Test06:Show History of Usage Parts,36938,Enabler / Usage-Management within eBOM,User Story
46307,Test06:Show History of Usage Parts,36938,Enabler / Usage-Management within eBOM,User Story
47823,Test01:Create Change & Set as Active Change,36938,Enabler / Usage-Management within eBOM,User Story
476730,Test02:Creation of Usage Parts (In the Context of Change),36938,Enabler / Usage-Management within eBOM,User Story
476731,Test3:Add Existing Usage Parts to Assembly (In the Context of Change),36938,Enabler / Usage-Management within eBOM,User Story
476732,Test4:Release Usage Parts (in the context of the change),36938,Enabler / Usage-Management within eBOM,User Story
476733,Test05:Revise Usage Parts (In the Context of the Change),36938,Enabler / Usage-Management within eBOM,User Story
476734,Test06:Show History of Usage Parts,36938,Enabler / Usage-Management within eBOM,User Story
476816,Clone or copy assemblies in NX managed mode,54123,Clone or copy assemblies in NX managed mode,Test Case
46536,Use PLMXML to import demo truck CAD data into Teamcenter,39871,Import Truck demo test data to Teamcenter,User Story
47576,Use model templates,37008,Use model templates,User Story
47579,Create DMU Group Design object,47591,Create DMU Group Design object,Test Case
476746,Create DMU Group Design object,47591,Create DMU Group Design object,Test Case
476747,Create DMU Group Design object,47591,Create DMU Group Design object,Test Case
47591,Create DMU Group Design object,47579,Create DMU Group Design object,Test Case
476746,Create DMU Group Design object,47579,Create DMU Group Design object,Test Case
476747,Create DMU Group Design object,47579,Create DMU Group Design object,Test Case
47597,Assign or remove object to/from project,45742,Assign or remove object to/from project,Test Case
47600,Assign or remove object to/from project,45742,Assign or remove object to/from project,Test Case
476718,Assign or remove object to/from project,45742,Assign or remove object to/from project,Test Case
476748,Assign or remove object to/from project,45742,Assign or remove object to/from project,Test Case
476750,Assign or remove object to/from project,45742,Assign or remove object to/from project,Test Case
47598,Create Project and Define Project Members,45664,Create Project and Define Project Members,Test Case
47601,Create Project and Define Project Members,45664,Create Project and Define Project Members,Test Case
476714,Create Project and Define Project Members,45664,Create Project and Define Project Members,Test Case
476749,Create Project and Define Project Members,45664,Create Project and Define Project Members,Test Case
476752,Create Project and Define Project Members,45664,Create Project and Define Project Members,Test Case
476811,Automatically populate physical properties to 3D Geometry by assigning material,53210,Automatically populate physical properties to 3D Geometry by assigning material,Test Case
