bug_id,ground_truth_testcases,baseline_predicted_testcases,dense_reranked_predicted_testcases,hybrid_predicted_testcases,hybrid_reranked_predicted_testcases,predicted_testcases,hit@1,hit@3,hit@5,hit@10,mrr,ranking_method,retrieval_scores,reranker_scores,final_scores
107658,"[84285, 180308, 197181]","[84285, 180308, 197181, 84572, 180314, 96685, 180376, 87041, 180356, 62054]","[84285, 180308, 197181, 62054, 180314, 84572, 96685, 87041, 180356, 180376]","[84285, 180308, 197181, 87041, 180356, 66714, 180302, 84676, 180318, 96685]","[84285, 180308, 197181, 87041, 180356, 66714, 180302, 84676, 180318, 96685]","[84285, 180308, 197181, 87041, 180356, 66714, 180302, 84676, 180318, 96685]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
106898,"[84383, 175601, 180309]","[84114, 175602, 180306, 105245, 180384, 84285, 180308, 197181, 88483, 93916]","[180384, 105245, 175602, 84114, 180306, 93916, 84285, 180308, 197181, 88483]","[84912, 180328, 105245, 180384, 66714, 180302, 84285, 180308, 197181, 105317]","[84912, 180328, 105317, 105245, 180384, 84285, 180308, 197181, 180302, 66714]","[84912, 180328, 105317, 105245, 180384, 84285, 180308, 197181, 180302, 66714]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
184783,[84390],"[116954, 177462, 96685, 180376, 417166, 332151, 334331, 334895, 336002, 258608]","[116954, 96685, 334331, 177462, 180376, 334895, 417166, 332151, 258608, 336002]","[96685, 180376, 334331, 334895, 336002, 177462, 207516, 98160, 244317, 84624]","[96685, 334331, 177462, 334895, 180376, 336002, 207516, 98160, 244317, 84624]","[96685, 334331, 177462, 334895, 180376, 336002, 207516, 98160, 244317, 84624]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102768,"[84417, 180312]","[84869, 180325, 194817, 216699, 216708, 184364, 85657, 244286, 84818, 180323]","[84869, 180325, 216699, 244286, 184364, 85657, 216708, 84818, 180323, 194817]","[83668, 85717, 180347, 84869, 180325, 91197, 85657, 87041, 84818, 180323]","[83668, 85717, 180347, 91197, 84869, 180325, 87041, 85657, 84818, 180323]","[83668, 85717, 180347, 91197, 84869, 180325, 87041, 85657, 84818, 180323]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
160658,"[84440, 180313]","[104819, 180383, 61140, 84114, 175602, 180306, 84676, 180318, 84949, 94582]","[175602, 104819, 180383, 61140, 84114, 180306, 94582, 84949, 180318, 84676]","[105317, 180385, 83668, 94582, 162506, 180369, 231155, 305344, 84081, 84114]","[83668, 231155, 180385, 105317, 162506, 94582, 180369, 305344, 84081, 84114]","[83668, 231155, 180385, 105317, 162506, 94582, 180369, 305344, 84081, 84114]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101577,"[84572, 180314]","[88483, 93916, 95791, 180360, 180370, 44315, 84114, 175602, 180306, 84285]","[93916, 88483, 180360, 175602, 180370, 95791, 44315, 84114, 180306, 84285]","[85327, 180341, 197551, 84114, 175602, 180306, 84818, 180323, 203979, 83663]","[175602, 85327, 180341, 197551, 84114, 180306, 84818, 180323, 203979, 83663]","[175602, 85327, 180341, 197551, 84114, 180306, 84818, 180323, 203979, 83663]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101842,"[84572, 180314]","[84869, 180325, 85327, 180341, 197551, 88483, 93916, 95791, 180360, 180370]","[180341, 85327, 197551, 84869, 180325, 93916, 88483, 180360, 95791, 180370]","[85327, 180341, 197551, 84818, 180323, 203979, 84869, 180325, 84912, 180328]","[85327, 180341, 197551, 84869, 180325, 84912, 180328, 203979, 84818, 180323]","[85327, 180341, 197551, 84869, 180325, 84912, 180328, 203979, 84818, 180323]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
109390,"[84624, 180315]","[84624, 180315, 91197, 85717, 180347, 114999, 85233, 180334, 98160, 93615]","[84624, 180315, 91197, 114999, 85717, 180347, 93615, 85233, 180334, 98160]","[84676, 180318, 87041, 84912, 180328, 105317, 180385, 180356, 106478, 180389]","[180328, 84912, 105317, 180385, 180318, 84676, 87041, 106478, 180389, 180356]","[180328, 84912, 105317, 180385, 180318, 84676, 87041, 106478, 180389, 180356]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
163006,"[84629, 180317]","[86193, 180351, 84114, 175602, 180306, 85248, 255769, 221179, 95791, 96465]","[175602, 84114, 180306, 85248, 180351, 86193, 221179, 96465, 255769, 95791]","[86193, 180351, 84114, 175602, 180306, 207370, 85248, 200406, 200474, 200641]","[175602, 84114, 180306, 85248, 180351, 86193, 207370, 200474, 200641, 200406]","[175602, 84114, 180306, 85248, 180351, 86193, 207370, 200474, 200641, 200406]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107655,"[84676, 180318]","[84912, 180328, 105317, 180385, 106478, 180389, 84941, 180330, 84818, 180323]","[84912, 180328, 105317, 180385, 106478, 180389, 84941, 180330, 84818, 180323]","[105317, 84676, 180318, 180385, 84912, 180328, 106478, 180389, 84285, 180308]","[105317, 180385, 84676, 180318, 180389, 106478, 180328, 84912, 84285, 180308]","[105317, 180385, 84676, 180318, 180389, 106478, 180328, 84912, 84285, 180308]",0,1,1,1,0.3333333333333333,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107757,"[84683, 180319]","[105317, 180385, 84574, 84683, 180319, 199409, 207071, 252874, 274769, 206566]","[105317, 180385, 84683, 180319, 252874, 274769, 206566, 84574, 207071, 199409]","[105317, 180385, 84676, 180318, 84912, 180328, 106478, 180389, 84285, 180308]","[105317, 180385, 180389, 106478, 180328, 84912, 84676, 180318, 84285, 180308]","[105317, 180385, 180389, 106478, 180328, 84912, 84676, 180318, 84285, 180308]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
